Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
RHO1,NP_477098.1,"[('XP_007256202.1', 'RHOCB'), ('XP_007253416.1', 'RHOCA'), ('XP_022538257.1', 'LOC103029431'), ('XP_007237036.1', 'RHOAA'), ('XP_007240495.1', 'RHOAB')]",1389
RHOBTB,NP_001262107.1,"[('XP_007255189.2', 'RHOBTB1'), ('XP_007235541.1', 'LOC103034624'), ('XP_022523163.2', 'RHOBTB4'), ('XP_007258377.3', 'RHOBTB4'), ('XP_022523162.2', 'RHOBTB4')]",1390
RHOGAP1A,NP_001284725.1,"[('XP_022536053.1', 'ABR'), ('XP_022536054.1', 'ABR'), ('XP_022536050.1', 'ABR'), ('XP_022532345.1', 'BCR')]",1391
RHOGAP68F,NP_001401037.1,"[('XP_007244973.2', 'ARHGAP1')]",1392
RHOGAP92B,NP_650844.1,"[('XP_022529529.2', 'ARHGAP17B'), ('XP_022529519.2', 'ARHGAP17B'), ('XP_022529517.2', 'ARHGAP17B'), ('XP_022529514.2', 'ARHGAP17B'), ('XP_049323772.1', 'ARHGAP17B'), ('XP_049323773.1', 'ARHGAP17B'), ('XP_049323774.1', 'ARHGAP17B'), ('XP_049323775.1', 'ARHGAP17B'), ('XP_049323776.1', 'ARHGAP17B'), ('XP_049323777.1', 'ARHGAP17B'), ('XP_049323778.1', 'ARHGAP17B'), ('XP_049323779.1', 'ARHGAP17B'), ('XP_049323780.1', 'ARHGAP17B'), ('XP_049323781.1', 'ARHGAP17B'), ('XP_049323782.1', 'ARHGAP17B'), ('XP_049323783.1', 'ARHGAP17B'), ('XP_049323784.1', 'ARHGAP17B'), ('XP_049323785.1', 'ARHGAP17B'), ('XP_049323786.1', 'ARHGAP17B'), ('XP_049323787.1', 'ARHGAP17B'), ('XP_049323788.1', 'ARHGAP17B'), ('XP_049323789.1', 'ARHGAP17B'), ('XP_049323790.1', 'ARHGAP17B'), ('XP_049323791.1', 'ARHGAP17B'), ('XP_049323792.1', 'ARHGAP17B')]",1393
RHOGAPP190,NP_001259659.1,"[('XP_007255149.3', 'ARHGAP5'), ('XP_007261046.3', 'ARHGAP35B'), ('XP_007261047.3', 'ARHGAP35B'), ('XP_049332435.1', 'ARHGAP35B'), ('XP_007260959.3', 'ARHGAP35A'), ('XP_022542664.2', 'ARHGAP35A')]",1394
RHOGDI,NP_649162.1,"[('XP_022527180.1', 'ARHGDIA'), ('XP_022527181.1', 'ARHGDIA'), ('XP_007245614.1', 'ARHGDIG'), ('XP_007245613.1', 'ARHGDIG')]",1395
RICTOR,NP_001285432.1,"[('XP_022531667.2', 'RICTORB'), ('XP_022520618.2', 'RICTORA'), ('XP_022520617.2', 'RICTORA')]",1396
RLUA-1,NP_723592.1,"[('XP_007237256.3', 'RPUSD2')]",1397
RM62,NP_524243.2,"[('XP_007239643.1', 'DDX5')]",1398
RME-8,NP_001286236.1,"[('XP_022517968.2', 'LOC103044999'), ('XP_022517982.2', 'LOC103044999'), ('XP_022517958.2', 'LOC103044999'), ('XP_022517966.2', 'LOC103044999'), ('XP_022517978.2', 'LOC103044999')]",1399
RN-TRE,NP_001260961.1,"[('XP_022520971.2', 'SI:CH211-288D18.1')]",1400
ROC2,NP_610691.1,"[('XP_007235681.1', 'RNF7')]",1401
ROK,NP_001285336.1,"[('XP_049338797.1', 'ROCK1'), ('XP_049338796.1', 'ROCK1'), ('XP_007247587.2', 'ROCK2A'), ('XP_015460892.2', 'ROCK2A'), ('XP_049337124.1', 'ROCK2A'), ('XP_007247585.2', 'ROCK2A'), ('XP_049337122.1', 'ROCK2A'), ('XP_049337123.1', 'ROCK2A'), ('XP_049335729.1', 'LOC103045824'), ('XP_049335721.1', 'LOC103045824'), ('XP_049335719.1', 'LOC103045824')]",1402
ROLS,NP_001261739.1,"[('XP_049340660.1', 'TANC1B'), ('XP_049340658.1', 'TANC1B'), ('XP_049340659.1', 'TANC1B'), ('XP_049340657.1', 'TANC1B'), ('XP_022530974.2', 'TANC1A'), ('XP_049335017.1', 'TANC1A'), ('XP_049332040.1', 'TANC2A'), ('XP_022530975.2', 'TANC1A'), ('XP_049332041.1', 'TANC2A'), ('XP_022530973.2', 'TANC1A'), ('XP_049332039.1', 'TANC2A'), ('XP_049321144.1', 'TANC2B'), ('XP_049321139.1', 'TANC2B')]",1403
ROX8,NP_732942.1,"[('XP_007228842.1', 'TIA1L'), ('XP_007228841.1', 'TIA1L'), ('XP_007228843.1', 'TIA1L'), ('XP_015458288.1', 'TIA1L'), ('XP_007252312.2', 'TIAL1'), ('XP_007252311.2', 'TIAL1')]",1404
RPL10AB,NP_648514.1,"[('XP_007231977.1', 'RPL10A')]",1405
RPL13,NP_523530.1,"[('XP_007234286.3', 'RPL13')]",1406
RPL13A,NP_649560.1,"[('XP_007244661.1', 'RPL13A')]",1407
RPL14,NP_523975.1,"[('XP_007245650.2', 'RPL14')]",1408
RPL23A,NP_001356972.1,"[('XP_007254226.1', 'RPL23A')]",1409
RPL27A,NP_476963.1,"[('XP_007241148.2', 'RPL27A')]",1410
RPL28,NP_647791.2,"[('XP_049322532.1', 'RPL28')]",1411
RPL29,NP_477203.1,"[('XP_015461075.1', 'RPL29')]",1412
RPL3,NP_524316.1,"[('XP_007242797.2', 'RPL3'), ('XP_049323817.1', 'RPL3')]",1413
RPL35,NP_572243.1,"[('XP_049322230.1', 'RPL35'), ('XP_049322231.1', 'RPL35'), ('XP_049322232.1', 'RPL35'), ('XP_049322233.1', 'RPL35'), ('XP_049322235.1', 'RPL35'), ('XP_049322236.1', 'RPL35'), ('XP_049322237.1', 'RPL35'), ('XP_049322238.1', 'RPL35')]",1414
RPL38,NP_001036440.1,"[('XP_022524794.1', 'RPL38'), ('XP_049320367.1', 'RPL38'), ('XP_049320368.1', 'RPL38'), ('XP_049320369.1', 'RPL38'), ('XP_049320370.1', 'RPL38'), ('XP_049320371.1', 'RPL38'), ('XP_049320373.1', 'RPL38'), ('XP_049320374.1', 'RPL38'), ('XP_049320375.1', 'RPL38'), ('XP_049320376.1', 'RPL38'), ('XP_049320377.1', 'RPL38'), ('XP_049320378.1', 'RPL38'), ('XP_049320379.1', 'RPL38'), ('XP_049320380.1', 'RPL38'), ('XP_049320381.1', 'RPL38'), ('XP_049320382.1', 'RPL38')]",1415
RPL4,NP_524538.2,"[('XP_007249218.1', 'RPL4')]",1416
RPL5,NP_001036387.1,"[('XP_007233671.2', 'RPL5B'), ('XP_022534319.1', 'RPL5A')]",1417
RPLP0,NP_524211.1,"[('XP_022521551.2', 'RPLP0')]",1418
RPLP0-LIKE,NP_610554.1,"[('XP_007251523.1', 'MRTO4')]",1419
RPLP2,NP_523764.1,"[('XP_007260302.1', 'RPLP2L')]",1420
RPN2,NP_001263057.1,"[('XP_022525535.1', 'PSMD1')]",1421
RPN3,NP_477300.1,"[('XP_007230838.3', 'PSMD3')]",1422
RPN9,NP_651177.1,"[('XP_007241537.3', 'PSMD13'), ('XP_007231881.3', 'LOC103045150')]",1423
RPS13,NP_476938.1,"[('XP_022525823.1', 'RPS13')]",1424
RPS15AA,NP_524709.1,"[('XP_049323761.1', 'RPS15A'), ('XP_049323762.1', 'RPS15A')]",1425
RPS16,NP_611685.1,"[('XP_007232867.1', 'RPS16'), ('XP_049329934.1', 'RPS16')]",1426
RPS18,NP_476964.1,"[('XP_015458348.1', 'LOC103029244'), ('XP_049329142.1', 'LOC111196404')]",1427
RPS20,NP_524421.1,"[('XP_007231134.1', 'RPS20')]",1428
RPS23,NP_610939.2,"[('XP_007251538.1', 'RPS23')]",1429
RPS25,NP_524315.2,"[('XP_007244789.1', 'RPS25')]",1430
RPS27A,NP_476778.1,"[('XP_007230176.1', 'RPS27A')]",1431
RPS28B,NP_572568.1,"[('XP_022534724.1', 'RPS28')]",1432
RPS30,NP_650922.1,"[('XP_007230786.1', 'FAUA'), ('XP_015463357.1', 'FAUA')]",1433
RPS3A,NP_524618.1,"[('XP_007230303.3', 'RPS3A')]",1434
RPS5A,NP_523382.1,"[('XP_015458687.1', 'RPS5'), ('XP_015458686.1', 'RPS5')]",1435
RPS7,NP_651782.1,"[('XP_022541692.1', 'RPS7')]",1436
RPS8,NP_651740.1,"[('XP_007245170.1', 'RPS8A')]",1437
RPS9,NP_524004.2,"[('XP_007256932.1', 'RPS9')]",1438
RPT3,NP_572686.1,"[('XP_022519397.1', 'PSMC4'), ('XP_049325103.1', 'LOC125784994')]",1439
RRP40,NP_722725.1,"[('XP_007232266.1', 'LOC103035868')]",1440
RRP46,NP_650001.2,"[('XP_007231349.3', 'EXOSC5')]",1441
RRP6,NP_001097795.1,"[('XP_007248020.3', 'EXOSC10')]",1442
RS1,NP_651970.1,"[('XP_022531339.2', 'DDX27')]",1443
RSG7,NP_523380.2,"[('XP_049319831.1', 'RGS7A'), ('XP_049319830.1', 'RGS7A'), ('XP_049319828.1', 'RGS7A'), ('XP_049319829.1', 'RGS7A'), ('XP_049320736.1', 'RGS7B'), ('XP_049320735.1', 'RGS7B')]",1444
RST,NP_525058.2,"[('XP_049323015.1', 'KIRREL3L')]",1445
RT,NP_524025.2,"[('XP_007243984.1', 'POMT1')]",1446
RTC1,NP_572919.1,"[('XP_007229717.2', 'RCL1')]",1447
RTET,NP_524429.1,"[('XP_007253921.3', 'MFSD10')]",1448
RTF1,NP_611665.1,"[('XP_022540809.1', 'RTF1')]",1449
RUT,NP_001245672.1,"[('XP_049338016.1', 'ADCY1B'), ('XP_022542108.2', 'ADCY1A')]",1450
S6K,NP_523941.2,"[('XP_007231096.3', 'RPS6KB1B'), ('XP_007231097.3', 'RPS6KB1B'), ('XP_022537338.1', 'LOC103031203'), ('XP_022537339.1', 'LOC103031203')]",1451
SAD,NP_650123.1,"[('XP_007256957.3', 'LOC103026652')]",1452
SALM,NP_723670.2,"[('XP_007244892.2', 'SALL1A')]",1453
SALR,NP_523548.1,"[('XP_022534805.1', 'SALL3A')]",1454
SAM-S,NP_524923.1,"[('XP_007236235.3', 'MAT2AB'), ('XP_022536874.1', 'MAT2AA'), ('XP_049320828.1', 'LOC103028621'), ('XP_007237810.2', 'MAT1A')]",1455
SANS,NP_610829.1,"[('XP_022527145.1', 'USH1GA'), ('XP_022527146.1', 'USH1GA')]",1456
SAP47,NP_001356918.1,"[('XP_007237548.2', 'SYAP1')]",1457
SAR1,NP_732717.1,"[('XP_022532423.1', 'SAR1B'), ('XP_007250191.1', 'SAR1AA')]",1458
SARA,NP_524729.2,"[('XP_022524052.2', 'ZFYVE9A'), ('XP_022524049.2', 'ZFYVE9A'), ('XP_022524050.2', 'ZFYVE9A')]",1459
SAS10,NP_572215.1,"[('XP_022538171.2', 'UTP3')]",1460
SAX,NP_001246193.1,"[('XP_022535863.2', 'LOC103030586'), ('XP_022535864.2', 'LOC103030586'), ('XP_022535865.2', 'LOC103030586'), ('XP_022533604.2', 'ACVR1L')]",1461
SBF,NP_731633.2,"[('XP_049321490.1', 'SBF2'), ('XP_022527586.2', 'SBF1'), ('XP_049321489.1', 'SBF2'), ('XP_022527583.2', 'SBF1'), ('XP_022527582.2', 'SBF1'), ('XP_022527584.2', 'SBF1'), ('XP_022527581.2', 'SBF1'), ('XP_022527580.2', 'SBF1'), ('XP_022527578.2', 'SBF1')]",1462
SBR,NP_524660.1,"[('XP_022539275.2', 'NXF1A'), ('XP_022539274.2', 'NXF1A'), ('XP_049321986.1', 'NXF1B'), ('XP_049321987.1', 'NXF1B')]",1463
SC35,NP_652612.1,"[('XP_007241354.1', 'SRSF2A')]",1464
SCAF6,NP_001014589.1,"[('XP_007246254.3', 'LOC103033812'), ('XP_007246255.3', 'LOC103033812')]",1465
SCAMP,NP_573023.2,"[('XP_007256607.1', 'SCAMP1')]",1466
SCAP,NP_788277.1,"[('XP_022519531.2', 'LOC111190066')]",1467
SCF,NP_477392.1,"[('XP_007244133.3', 'CALUB'), ('XP_007251118.1', 'RCN3')]",1468
SCGALPHA,NP_001260246.1,"[('XP_007259875.1', 'SGCE'), ('XP_007259873.1', 'SGCE'), ('XP_015463979.1', 'SGCE'), ('XP_007259872.1', 'SGCE'), ('XP_007259871.1', 'SGCE')]",1469
SCGDELTA,NP_525039.1,"[('XP_049322559.1', 'SGCD'), ('XP_049322560.1', 'SGCD'), ('XP_049322561.1', 'SGCD'), ('XP_049322558.1', 'SGCD')]",1470
SCHLANK,NP_652526.1,"[('XP_022537901.1', 'CERS5'), ('XP_049340817.1', 'CERS6'), ('XP_022535739.1', 'CERS6'), ('XP_007237292.3', 'CERS3A'), ('XP_007237293.3', 'CERS3A'), ('XP_007237294.3', 'CERS3A'), ('XP_015457923.3', 'CERS3A'), ('XP_015457924.3', 'CERS3A')]",1471
SCM,NP_731385.1,"[('XP_007237534.1', 'LOC103028396'), ('XP_007237535.1', 'LOC103028396'), ('XP_049342364.1', 'LOC103028396')]",1472
SCOX,NP_608884.1,"[('XP_022529120.2', 'LOC103027271')]",1473
SCPX,NP_524715.2,"[('XP_007250709.2', 'SCP2A')]",1474
SCRIB,NP_001247322.1,"[('XP_049338915.1', 'SCRIB'), ('XP_022533794.2', 'SCRIB'), ('XP_049338914.1', 'SCRIB'), ('XP_022533788.2', 'SCRIB'), ('XP_049338913.1', 'SCRIB'), ('XP_049338912.1', 'SCRIB'), ('XP_049338911.1', 'SCRIB'), ('XP_049338910.1', 'SCRIB'), ('XP_049338909.1', 'SCRIB'), ('XP_049338908.1', 'SCRIB')]",1475
SCU,NP_523396.1,"[('XP_022533097.1', 'HSD17B10')]",1476
SD,NP_001096989.1,"[('XP_022539514.1', 'TEAD1A'), ('XP_007254714.1', 'TEAD1B'), ('XP_007254715.1', 'TEAD1B'), ('XP_007254713.1', 'TEAD1B'), ('XP_007254712.1', 'TEAD1B'), ('XP_015462706.1', 'TEAD1B'), ('XP_049321269.1', 'TEAD1B'), ('XP_015462707.1', 'TEAD1B'), ('XP_022531290.2', 'TEAD3B'), ('XP_022531289.2', 'TEAD3B')]",1477
SDK,NP_001284756.1,"[('XP_022529227.2', 'SDK2A'), ('XP_049320323.1', 'SDK2B'), ('XP_049320321.1', 'SDK2B'), ('XP_049320322.1', 'SDK2B'), ('XP_049320320.1', 'SDK2B'), ('XP_049331463.1', 'SDK1A'), ('XP_049331462.1', 'SDK1A')]",1478
SEC10,NP_651218.1,"[('XP_049319866.1', 'EXOC5')]",1479
SEC15,NP_650942.1,"[('XP_022524928.2', 'EXOC6'), ('XP_022524927.2', 'EXOC6'), ('XP_022524926.2', 'EXOC6'), ('XP_022524925.2', 'EXOC6'), ('XP_022524929.2', 'EXOC6')]",1480
SEC22,NP_001259103.1,"[('XP_007245872.1', 'SEC22BB')]",1481
SEC23,NP_001246932.1,"[('XP_007240542.3', 'SEC23A'), ('XP_007244239.2', 'SEC23B'), ('XP_015460023.2', 'SEC23B')]",1482
SEC3,NP_648976.2,"[('XP_007259583.3', 'EXOC1'), ('XP_007259581.3', 'EXOC1'), ('XP_007259580.3', 'EXOC1'), ('XP_022520237.2', 'EXOC1'), ('XP_022520231.2', 'EXOC1'), ('XP_022520226.2', 'EXOC1')]",1483
SEC61ALPHA,NP_609034.1,"[('XP_007254317.1', 'SEC61A1'), ('XP_007253335.1', 'SEC61A1L')]",1484
SEC61BETA,NP_652037.1,"[('XP_015460081.3', 'SEC61B')]",1485
SEC61GAMMA,NP_608337.1,"[('XP_015462444.1', 'SEC61G')]",1486
SEC63,NP_648111.1,"[('XP_022521069.2', 'SEC63')]",1487
SEC71,NP_609675.2,"[('XP_049341670.1', 'ARFGEF1'), ('XP_049341664.1', 'ARFGEF1'), ('XP_049341656.1', 'ARFGEF1'), ('XP_049341653.1', 'ARFGEF1'), ('XP_049341647.1', 'ARFGEF1'), ('XP_049341644.1', 'ARFGEF1'), ('XP_022533112.1', 'ARFGEF2')]",1488
SERT,NP_001369117.1,"[('XP_007233559.2', 'SLC6A4B'), ('XP_007236882.3', 'SLC6A4A'), ('XP_007236883.3', 'SLC6A4A')]",1489
SESB,NP_727448.1,"[('XP_007232858.1', 'SLC25A4'), ('XP_049340960.1', 'SLC25A6'), ('XP_007254456.3', 'SLC25A5'), ('XP_022522113.1', 'SI:DKEY-251I10.1')]",1490
SESN,NP_001097437.1,"[('XP_007255736.1', 'SESN1'), ('XP_007255734.2', 'SESN1'), ('XP_007255735.2', 'SESN1')]",1491
SET,NP_650438.2,"[('XP_007233966.1', 'SETB'), ('XP_007229190.1', 'SETA')]",1492
SF2,NP_652611.1,"[('XP_007248694.1', 'SRSF1A'), ('XP_007248695.1', 'SRSF1A'), ('XP_049322473.1', 'SRSF1B')]",1493
SFF,NP_001261901.1,"[('XP_049330675.1', 'BRSK2A'), ('XP_049330672.1', 'BRSK2A'), ('XP_049330671.1', 'BRSK2A'), ('XP_049330670.1', 'BRSK2A'), ('XP_049330674.1', 'BRSK2A'), ('XP_049330673.1', 'BRSK2A'), ('XP_049326906.1', 'BRSK2B'), ('XP_049330669.1', 'BRSK2A'), ('XP_049326904.1', 'BRSK2B'), ('XP_049330668.1', 'BRSK2A'), ('XP_022524980.1', 'BRSK1A'), ('XP_007248795.1', 'BRSK1A'), ('XP_049326903.1', 'BRSK2B'), ('XP_049320702.1', 'BRSK1A'), ('XP_022520266.1', 'BRSK1B')]",1494
SGG,NP_476714.1,"[('XP_022530488.2', 'GSK3BB'), ('XP_007233136.1', 'GSK3BA'), ('XP_007233135.1', 'GSK3BA'), ('XP_022530489.2', 'GSK3BB')]",1495
SGL,NP_476980.1,"[('XP_022537734.1', 'UGDH'), ('XP_049328592.1', 'UGDH')]",1496
SGT,NP_609842.1,"[('XP_007240265.3', 'SGTA'), ('XP_022525420.2', 'SGTA')]",1497
SH,NP_728120.1,"[('XP_007237144.2', 'KCNA1B'), ('XP_007253403.3', 'KCNA3A'), ('XP_007242739.2', 'LOC103027793'), ('XP_007238126.1', 'KCNA1A'), ('XP_007253402.1', 'LOC103030675'), ('XP_022531409.1', 'LOC103030675')]",1498
SH3PX1,NP_648348.1,"[('XP_007250543.2', 'SNX18A'), ('XP_007228608.2', 'SNX33'), ('XP_007229979.3', 'SNX18B'), ('XP_007253986.1', 'SNX9B')]",1499
SHAL,NP_001262055.1,"[('XP_049329253.1', 'KCND2'), ('XP_007245920.3', 'KCND1'), ('XP_022525988.2', 'KCND3'), ('XP_007228573.1', 'LOC103023694'), ('XP_049329254.1', 'KCND2'), ('XP_022525987.2', 'KCND3'), ('XP_007228572.1', 'LOC103023694')]",1500
SHAW,NP_001137782.1,"[('XP_049323571.1', 'KCNC3A'), ('XP_049323570.1', 'KCNC3A'), ('XP_049323569.1', 'KCNC3A'), ('XP_049336056.1', 'KCNC3B'), ('XP_049336055.1', 'KCNC3B'), ('XP_007233035.2', 'KCNC4'), ('XP_049336054.1', 'KCNC3B'), ('XP_049336052.1', 'KCNC3B'), ('XP_049336051.1', 'KCNC3B'), ('XP_022522837.1', 'KCNC1A'), ('XP_022522835.1', 'KCNC1A'), ('XP_022522833.1', 'KCNC1A'), ('XP_022522830.1', 'KCNC1A'), ('XP_007235234.3', 'KCNC1B'), ('XP_007235233.3', 'KCNC1B'), ('XP_049330058.1', 'KCNC2'), ('XP_049330057.1', 'KCNC2')]",1501
SHC,NP_524683.2,"[('XP_022529929.1', 'SHC1'), ('XP_022529928.1', 'SHC1'), ('XP_022529926.2', 'SHC1')]",1502
SHEP,NP_729054.3,"[('XP_022538361.1', 'LOC103040012'), ('XP_022538366.1', 'LOC103040012'), ('XP_049327871.1', 'LOC103040012'), ('XP_022538365.1', 'LOC103040012'), ('XP_022538362.1', 'LOC103040012')]",1503
SHI,NP_001259588.1,"[('XP_022523740.2', 'DNM2A'), ('XP_022523738.2', 'DNM2A'), ('XP_022523741.2', 'DNM2A'), ('XP_049326511.1', 'DNM1B'), ('XP_049331711.1', 'DNM2A'), ('XP_049331713.1', 'DNM2A'), ('XP_022523739.2', 'DNM2A'), ('XP_049326512.1', 'DNM1B'), ('XP_022523167.1', 'DNM1B'), ('XP_022523169.1', 'DNM1B'), ('XP_022523170.1', 'DNM1B'), ('XP_022523172.1', 'DNM1B'), ('XP_022530184.2', 'DNM2B'), ('XP_049325369.1', 'DNM2B'), ('XP_049331712.1', 'DNM2A'), ('XP_049342327.1', 'DNM1A'), ('XP_022518173.1', 'DNM3B'), ('XP_049338817.1', 'DNM3B')]",1504
SHOT,NP_001137659.1,"[('XP_049331353.1', 'MACF1A')]",1505
SHRB,NP_610462.3,"[('XP_007247962.1', 'LOC103026801'), ('XP_007241258.1', 'CHMP4BA')]",1506
SIF,NP_001097518.2,"[('XP_022537150.2', 'TIAM1A')]",1507
SIM,NP_001262527.1,"[('XP_007260958.3', 'NPAS1'), ('XP_022542797.2', 'NPAS1')]",1508
SIN1,NP_610963.1,"[('XP_022523491.1', 'MAPKAP1'), ('XP_049330720.1', 'MAPKAP1')]",1509
SIN3A,NP_725187.1,"[('XP_049326900.1', 'SIN3AB'), ('XP_022527282.1', 'SIN3AA'), ('XP_022527283.1', 'SIN3AA'), ('XP_022527284.1', 'SIN3AA')]",1510
SINA,NP_476725.1,"[('XP_007249245.1', 'SIAH1'), ('XP_049339318.1', 'SIAH1'), ('XP_007249244.1', 'SIAH1'), ('XP_007249243.1', 'SIAH1'), ('XP_007244503.2', 'SIAH2L')]",1511
SIP1,NP_524725.2,"[('XP_007250033.3', 'TFIP11')]",1512
SIRT2,NP_650880.3,"[('XP_022534733.1', 'SIRT2'), ('XP_022534734.1', 'SIRT2')]",1513
SIX4,NP_649256.1,"[('XP_007256729.1', 'SIX6B'), ('XP_007255834.1', 'SIX3A')]",1514
SK,NP_001259253.1,"[('XP_049341865.1', 'KCNN1B'), ('XP_049341866.1', 'KCNN1B')]",1515
SK1,NP_572717.1,"[('XP_007252205.3', 'LOC103023393'), ('XP_049332091.1', 'LOC103040500')]",1516
SK2,NP_647762.3,"[('XP_049332091.1', 'LOC103040500'), ('XP_007252205.3', 'LOC103023393')]",1517
SKD,NP_001262134.1,"[('XP_022536787.2', 'MED13A'), ('XP_022536786.2', 'MED13A'), ('XP_049323177.1', 'MED13B'), ('XP_049330535.1', 'LOC103034396')]",1518
SKI6,NP_609618.2,"[('XP_007240080.1', 'EXOSC4')]",1519
SKIP,NP_001262827.1,"[('XP_007252036.3', 'SASH1B'), ('XP_007252035.3', 'SASH1B'), ('XP_022528720.2', 'SASH1B'), ('XP_022528721.2', 'SASH1B'), ('XP_022528722.2', 'SASH1B')]",1520
SKPA,NP_477390.1,"[('XP_007241403.1', 'SKP1')]",1521
SLGA,NP_523433.2,"[('XP_007234035.3', 'PRODHA')]",1522
SLH,NP_001137769.2,"[('XP_022528331.1', 'SCFD1')]",1523
SLI,NP_001261017.1,"[('XP_049328076.1', 'SLIT1A'), ('XP_022537834.2', 'SLIT1A'), ('XP_049328075.1', 'SLIT1A'), ('XP_049328074.1', 'SLIT1A'), ('XP_049328218.1', 'SLIT2')]",1524
SLIF,NP_649428.1,"[('XP_007258708.3', 'SLC7A3B'), ('XP_007258709.3', 'SLC7A3B'), ('XP_049339830.1', 'SLC7A3B'), ('XP_007236768.3', 'SLC7A1B'), ('XP_049323281.1', 'SLC7A1B'), ('XP_007252526.1', 'SLC7A1A'), ('XP_022537038.1', 'SLC7A1A'), ('XP_049324627.1', 'SLC7A1A'), ('XP_007254191.2', 'SLC7A3A'), ('XP_049322413.1', 'SLC7A3A'), ('XP_007252527.1', 'SLC7A1A'), ('XP_049321186.1', 'ZGC:175280')]",1525
SLIK,NP_001014549.1,"[('XP_007252332.3', 'SLKA')]",1526
SLIM,NP_523782.1,"[('XP_022527514.2', 'KLHDC10'), ('XP_022527513.2', 'KLHDC10')]",1527
SLMB,NP_001262802.1,"[('XP_007237855.3', 'FBXW11B')]",1528
SLO,NP_001262925.1,"[('XP_022540576.2', 'KCNMA1A'), ('XP_022540594.2', 'KCNMA1A'), ('XP_022540599.2', 'KCNMA1A'), ('XP_022540590.2', 'KCNMA1A'), ('XP_022540597.2', 'KCNMA1A'), ('XP_049336975.1', 'KCNMA1A'), ('XP_049336971.1', 'KCNMA1A'), ('XP_049336973.1', 'KCNMA1A'), ('XP_049320470.1', 'LOC103038321'), ('XP_049320471.1', 'LOC103038321'), ('XP_049320475.1', 'LOC103038321'), ('XP_049320477.1', 'LOC103038321'), ('XP_022540596.1', 'KCNMA1A'), ('XP_022540583.2', 'KCNMA1A'), ('XP_022540591.2', 'KCNMA1A'), ('XP_049336970.1', 'KCNMA1A'), ('XP_022540581.2', 'KCNMA1A'), ('XP_022540595.2', 'KCNMA1A'), ('XP_007240363.3', 'KCNMA1A'), ('XP_049336972.1', 'KCNMA1A'), ('XP_049320476.1', 'LOC103038321'), ('XP_049320478.1', 'LOC103038321'), ('XP_049320472.1', 'LOC103038321'), ('XP_049320465.1', 'LOC103038321'), ('XP_049320468.1', 'LOC103038321')]",1529
SLPR,NP_572458.3,"[('XP_022520668.2', 'MAP3K10')]",1530
SMC1,NP_651211.2,"[('XP_022522165.1', 'LOC107196953'), ('XP_007246839.2', 'SMC1A')]",1531
SMG,NP_523987.1,"[('XP_022529026.2', 'SAMD4A'), ('XP_022529025.2', 'SAMD4A'), ('XP_022529027.2', 'SAMD4A')]",1532
SMG6,NP_651321.1,"[('XP_049325024.1', 'SMG6'), ('XP_049325026.1', 'SMG6'), ('XP_049325027.1', 'SMG6'), ('XP_049325025.1', 'SMG6'), ('XP_007229834.3', 'SMG6'), ('XP_049325023.1', 'SMG6')]",1533
SMID,NP_523959.2,"[('XP_007253246.3', 'NVL'), ('XP_049328530.1', 'NVL')]",1534
SMP-30,NP_001262580.1,"[('XP_007248948.2', 'RGN')]",1535
SN,NP_727226.1,"[('XP_007247867.1', 'FSCN1A')]",1536
SNAP24,NP_524298.1,"[('XP_007245417.1', 'SNAP25A'), ('XP_007238437.1', 'SNAP25B'), ('XP_022520466.1', 'SNAP25B')]",1537
SNAP25,NP_001036641.1,"[('XP_007245417.1', 'SNAP25A'), ('XP_007238437.1', 'SNAP25B'), ('XP_007236906.1', 'ZGC:101731')]",1538
SNO,NP_511144.2,"[('XP_049325000.1', 'SBNO1'), ('XP_049325001.1', 'SBNO1'), ('XP_049325002.1', 'SBNO1'), ('XP_049325003.1', 'SBNO1'), ('XP_049325004.1', 'SBNO1')]",1539
SNPF-R,NP_524176.1,"[('XP_007255092.3', 'PRLHR2B'), ('XP_007260204.3', 'PRLHR2A'), ('XP_049342136.1', 'PRLHR2A')]",1540
SNS,NP_001036532.1,"[('XP_049323029.1', 'NPHS1')]",1541
SNX6,NP_609199.1,"[('XP_007240532.1', 'SNX6'), ('XP_007240533.1', 'SNX6')]",1542
SNZ,NP_572421.1,"[('XP_022539259.2', 'SNX25')]",1543
SOG,NP_476736.1,"[('XP_007247718.1', 'CHRD')]",1544
SOS,NP_476597.2,"[('XP_022525691.1', 'SOS1'), ('XP_022525692.1', 'SOS1'), ('XP_007247658.3', 'SOS2')]",1545
SP1,NP_001259388.1,"[('XP_007234917.3', 'SP9'), ('XP_007260755.2', 'SP8A')]",1546
SP1029,NP_652618.1,"[('XP_022525610.1', 'ANPEPA')]",1547
SP7,NP_649734.2,"[('XP_007254449.3', 'F9A')]",1548
SPASE22-23,NP_651234.1,"[('XP_022523423.1', 'SPCS3')]",1549
SPASE25,NP_572723.1,"[('XP_049323130.1', 'SPCS2'), ('XP_049323129.1', 'SPCS2')]",1550
SPDS,NP_731384.1,"[('XP_007246840.1', 'SRM')]",1551
SPEC2,NP_730968.1,"[('XP_007255397.1', 'CDC42SE2'), ('XP_022521295.1', 'CDC42SE2'), ('XP_049324775.1', 'CDC42SE2')]",1552
