,Dmel,a,a2,Ast,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
33171,Drosophila_melanogaster,NP_649904.2,CG9386,Astyanax_mexicanus,XP_007255112.3,TRMT44,5.279999999999999e-81,301.0,3.2299999999999997e-81,301.0
33181,Drosophila_melanogaster,NP_649916.1,P58IPK,Astyanax_mexicanus,XP_007248100.3,DNAJC3B,9.85e-84,310.0,4.87e-84,310.0
33190,Drosophila_melanogaster,NP_649931.1,TRBD,Astyanax_mexicanus,XP_007253841.2,ZRANB1B,1.3000000000000002e-163,576.0,5.89e-164,576.0
33199,Drosophila_melanogaster,NP_649948.1,CG8500,Astyanax_mexicanus,XP_007255386.1,LOC103025938,2.4800000000000002e-75,281.0,1.04e-75,281.0
33210,Drosophila_melanogaster,NP_649963.1,ART4,Astyanax_mexicanus,XP_049323668.1,CARM1,7.78e-151,533.0,4.21e-151,533.0
33245,Drosophila_melanogaster,NP_650001.2,RRP46,Astyanax_mexicanus,XP_007231349.3,EXOSC5,6.74e-36,150.0,3.14e-36,150.0
33246,Drosophila_melanogaster,NP_650002.1,CG6345,Astyanax_mexicanus,XP_007251436.3,CDK5RAP1,1.59e-159,562.0,7.860000000000001e-160,562.0
33254,Drosophila_melanogaster,NP_650029.1,CG6574,Astyanax_mexicanus,XP_007258521.3,SLC19A2,1.24e-69,263.0,6.7e-70,263.0
33259,Drosophila_melanogaster,NP_650034.1,TPC1,Astyanax_mexicanus,XP_049331863.1,LOC103042047,6.510000000000001e-56,217.0,3.01e-56,217.0
33284,Drosophila_melanogaster,NP_650064.1,CG5214,Astyanax_mexicanus,XP_015463379.1,DLST,5.84e-113,407.0,2.8e-113,407.0
33297,Drosophila_melanogaster,NP_650083.1,CG10898,Astyanax_mexicanus,XP_007229410.3,NUDT18,4.69e-42,171.0,2.2799999999999997e-42,171.0
33311,Drosophila_melanogaster,NP_650123.1,SAD,Astyanax_mexicanus,XP_007256957.3,LOC103026652,7.34e-39,161.0,3.72e-39,161.0
33319,Drosophila_melanogaster,NP_650136.1,TANGO9,Astyanax_mexicanus,XP_007243228.1,SLC35F6,1.3099999999999999e-42,173.0,6.3700000000000006e-43,173.0
33320,Drosophila_melanogaster,NP_650142.1,ECT3,Astyanax_mexicanus,XP_049328142.1,GLB1,1.64e-137,489.0,8.38e-138,489.0
33335,Drosophila_melanogaster,NP_650189.1,CYP9F2,Astyanax_mexicanus,XP_049331459.1,LOC125780417,4.0399999999999996e-55,215.0,1.9499999999999997e-55,215.0
33336,Drosophila_melanogaster,NP_650191.1,CG5196,Astyanax_mexicanus,XP_007259294.1,ZDHHC6,2.49e-63,242.0,1.1900000000000001e-63,242.0
33340,Drosophila_melanogaster,NP_650192.1,DIP-C,Astyanax_mexicanus,XP_022535616.2,PEPD,1.58e-138,492.0,7.94e-139,492.0
33364,Drosophila_melanogaster,NP_650208.1,CG5608,Astyanax_mexicanus,XP_022539628.1,VAC14,2.93e-161,568.0,1.6500000000000001e-161,568.0
33377,Drosophila_melanogaster,NP_650252.1,CG8031,Astyanax_mexicanus,XP_022522917.1,MEMO1,1.89e-110,398.0,9.38e-111,398.0
33382,Drosophila_melanogaster,NP_650257.1,PIC,Astyanax_mexicanus,XP_049339201.1,DDB1,0.0,1361.0,0.0,1361.0
33385,Drosophila_melanogaster,NP_650264.1,CG8483,Astyanax_mexicanus,XP_007260149.2,PI15A,9.969999999999999e-23,107.0,3.25e-23,107.0
33386,Drosophila_melanogaster,NP_650273.2,CG8773,Astyanax_mexicanus,XP_007238065.3,LOC103046414,2.95e-178,625.0,1.4e-178,625.0
33393,Drosophila_melanogaster,NP_650284.2,CG9799,Astyanax_mexicanus,XP_007231456.3,WDR36,1.45e-200,699.0,6.92e-201,699.0
33398,Drosophila_melanogaster,NP_650302.1,LKB1,Astyanax_mexicanus,XP_022534643.1,STK11,1.69e-119,429.0,6.42e-120,429.0
33409,Drosophila_melanogaster,NP_650317.3,CG9286,Astyanax_mexicanus,XP_007238209.2,LOC103037986,8.59e-36,150.0,4.23e-36,150.0
33410,Drosophila_melanogaster,NP_650318.1,DIP-B,Astyanax_mexicanus,XP_049341610.1,ZGC:152830,9.01e-127,453.0,4.49e-127,453.0
33411,Drosophila_melanogaster,NP_650325.1,RDX,Astyanax_mexicanus,XP_022520793.1,SPOP,1.2800000000000001e-169,595.0,5.8799999999999994e-170,595.0
33416,Drosophila_melanogaster,NP_650327.1,CYP6D5,Astyanax_mexicanus,XP_049331458.1,LOC103030124,3.89e-58,225.0,1.9000000000000002e-58,225.0
33420,Drosophila_melanogaster,NP_650329.1,CG9922,Astyanax_mexicanus,XP_007240806.1,HYPK,1.27e-18,91.7,6.13e-19,91.7
33426,Drosophila_melanogaster,NP_650338.1,TWF,Astyanax_mexicanus,XP_022526993.2,TWF1B,1.21e-98,359.0,6.06e-99,359.0
33429,Drosophila_melanogaster,NP_650366.1,HTRA2,Astyanax_mexicanus,XP_007236480.2,LOC103043568,2.61e-85,315.0,1.36e-85,315.0
33437,Drosophila_melanogaster,NP_650387.1,CG7530,Astyanax_mexicanus,XP_007229982.2,PAQR3B,5.63e-52,204.0,2.5099999999999998e-52,204.0
33447,Drosophila_melanogaster,NP_650405.2,CG3817,Astyanax_mexicanus,XP_007251859.1,RRP15,2.81e-13,75.1,1.34e-13,75.1
33457,Drosophila_melanogaster,NP_650432.1,CG12241,Astyanax_mexicanus,XP_022527387.1,SGSM3,5.2e-284,976.0,2.4099999999999998e-284,976.0
33460,Drosophila_melanogaster,NP_650438.2,SET,Astyanax_mexicanus,XP_007233966.1,SETB,3.7500000000000005e-70,264.0,1.88e-70,264.0
33462,Drosophila_melanogaster,NP_650441.1,CG4338,Astyanax_mexicanus,XP_007233002.2,TSR3,4.1900000000000005e-58,224.0,2.19e-58,224.0
33464,Drosophila_melanogaster,NP_650443.3,L(3)NEO43,Astyanax_mexicanus,XP_049337040.1,LOC103031497,2.17e-14,77.4,1.12e-14,77.4
33492,Drosophila_melanogaster,NP_650488.1,CG9590,Astyanax_mexicanus,XP_007244529.2,FAM114A2,2.23e-28,126.0,1.23e-28,126.0
33496,Drosophila_melanogaster,NP_650505.2,CG31183,Astyanax_mexicanus,XP_007249743.2,NPR1B,9.2e-225,780.0,3.4399999999999996e-225,780.0
33505,Drosophila_melanogaster,NP_650520.1,CG5013,Astyanax_mexicanus,XP_007237383.1,METTL23,2.0799999999999998e-46,185.0,9.27e-47,185.0
33506,Drosophila_melanogaster,NP_650521.1,CG10185,Astyanax_mexicanus,XP_007240267.3,NWD1,8.45e-115,415.0,3.9e-115,415.0
33510,Drosophila_melanogaster,NP_650530.2,MAT89BA,Astyanax_mexicanus,XP_007243971.3,NOL6,7.89e-135,481.0,3.71e-135,481.0
33518,Drosophila_melanogaster,NP_650547.1,CG14883,Astyanax_mexicanus,XP_007241175.3,GDE1,1.35e-17,89.7,7.24e-18,89.7
33521,Drosophila_melanogaster,NP_650553.1,DER-2,Astyanax_mexicanus,XP_015460300.2,DERL2,2.07e-83,308.0,9.34e-84,308.0
33548,Drosophila_melanogaster,NP_650616.2,BRF,Astyanax_mexicanus,XP_022540812.2,BRF1A,1.2600000000000001e-117,423.0,6.35e-118,423.0
33567,Drosophila_melanogaster,NP_650672.1,DNASEII,Astyanax_mexicanus,XP_007242189.3,DNASE2,4.48e-57,221.0,2.23e-57,221.0
33597,Drosophila_melanogaster,NP_650689.1,CG7985,Astyanax_mexicanus,XP_007259387.3,HEXDC,1.5799999999999998e-68,260.0,5.38e-69,260.0
33606,Drosophila_melanogaster,NP_650696.1,MDH2,Astyanax_mexicanus,XP_007259481.1,MDH2,8.39e-113,406.0,4.17e-113,406.0
33610,Drosophila_melanogaster,NP_650705.1,CG8064,Astyanax_mexicanus,XP_022536176.2,WDR3,6.48e-98,358.0,3.26e-98,358.0
33643,Drosophila_melanogaster,NP_650742.2,CG7706,Astyanax_mexicanus,XP_007247743.3,LOC103040940,6.32e-71,268.0,3.58e-71,268.0
33655,Drosophila_melanogaster,NP_650774.1,NP15.6,Astyanax_mexicanus,XP_007237038.3,NDUFB11,1.15e-08,58.9,5.27e-09,58.9
33660,Drosophila_melanogaster,NP_650780.1,MRPL55,Astyanax_mexicanus,XP_007235346.1,MRPL55,3.51e-17,86.7,2.12e-17,86.7
33661,Drosophila_melanogaster,NP_650784.3,PPCS,Astyanax_mexicanus,XP_022538172.2,PPCS,8.110000000000001e-72,270.0,3.47e-72,270.0
33662,Drosophila_melanogaster,NP_650786.2,CG11779,Astyanax_mexicanus,XP_007246245.3,TIMM44,5.73e-113,407.0,2.79e-113,407.0
33684,Drosophila_melanogaster,NP_650836.1,CG4572,Astyanax_mexicanus,XP_049336575.1,CPVL,4.93e-109,394.0,2.42e-109,394.0
33692,Drosophila_melanogaster,NP_650844.1,RHOGAP92B,Astyanax_mexicanus,XP_022529529.2,ARHGAP17B,6.08e-49,195.0,2.96e-49,195.0
33717,Drosophila_melanogaster,NP_650854.1,MED25,Astyanax_mexicanus,XP_022529731.1,MED25,2.97e-42,173.0,1.2399999999999998e-42,173.0
33734,Drosophila_melanogaster,NP_650880.3,SIRT2,Astyanax_mexicanus,XP_022534733.1,SIRT2,6.78e-99,360.0,3.36e-99,360.0
33740,Drosophila_melanogaster,NP_650895.1,CG5412,Astyanax_mexicanus,XP_049325028.1,OVCA2,9.85e-40,163.0,3.8499999999999994e-40,163.0
33744,Drosophila_melanogaster,NP_650902.1,PI3K92E,Astyanax_mexicanus,XP_022532684.2,PIK3CD,6.830000000000001e-200,697.0,3.2400000000000005e-200,697.0
33763,Drosophila_melanogaster,NP_650922.1,RPS30,Astyanax_mexicanus,XP_007230786.1,FAUA,5.1199999999999995e-28,123.0,2.55e-28,123.0
33785,Drosophila_melanogaster,NP_650942.1,SEC15,Astyanax_mexicanus,XP_022524928.2,EXOC6,1.14e-178,626.0,6.080000000000001e-179,626.0
33806,Drosophila_melanogaster,NP_650987.1,LSN,Astyanax_mexicanus,XP_007259169.1,SNF8,1.1299999999999999e-68,259.0,5.679999999999999e-69,259.0
33813,Drosophila_melanogaster,NP_650996.1,CG6678,Astyanax_mexicanus,XP_022527890.2,LOC103040546,2.2600000000000002e-29,129.0,1.1600000000000001e-29,129.0
33834,Drosophila_melanogaster,NP_651040.3,NOP56,Astyanax_mexicanus,XP_007246079.3,NOP56,1.0300000000000001e-164,579.0,5.79e-165,579.0
33835,Drosophila_melanogaster,NP_651041.3,MATS,Astyanax_mexicanus,XP_007257762.1,MOB1BA,3.5e-111,400.0,1.7e-111,400.0
33848,Drosophila_melanogaster,NP_651070.3,CG31156,Astyanax_mexicanus,XP_022540686.2,SRBD1,1.2499999999999998e-134,480.0,6.45e-135,480.0
33849,Drosophila_melanogaster,NP_651072.1,MRPL45,Astyanax_mexicanus,XP_007240208.3,MRPL45,1.05e-63,243.0,4.54e-64,243.0
33868,Drosophila_melanogaster,NP_651080.2,NUP133,Astyanax_mexicanus,XP_022530251.2,NUP133,8.039999999999999e-104,378.0,3.77e-104,378.0
33872,Drosophila_melanogaster,NP_651082.1,CYP6D4,Astyanax_mexicanus,XP_049331460.1,LOC103024636,7.52e-64,244.0,3.63e-64,244.0
33887,Drosophila_melanogaster,NP_651120.1,CG6726,Astyanax_mexicanus,XP_007234507.3,LOC103031539,3.44e-102,371.0,1.77e-102,371.0
33913,Drosophila_melanogaster,NP_651176.1,CG10365,Astyanax_mexicanus,XP_007231568.1,CHAC1,4.89e-43,174.0,1.7500000000000002e-43,174.0
33914,Drosophila_melanogaster,NP_651177.1,RPN9,Astyanax_mexicanus,XP_007241537.3,PSMD13,6.7100000000000005e-99,360.0,3.28e-99,360.0
33924,Drosophila_melanogaster,NP_651198.1,AP-1SIGMA,Astyanax_mexicanus,XP_007237542.1,LOC103030203,2.2399999999999998e-67,254.0,1.1299999999999999e-67,254.0
33952,Drosophila_melanogaster,NP_651209.1,ATG6,Astyanax_mexicanus,XP_049320578.1,BECN1,5.659999999999999e-104,377.0,2.9599999999999994e-104,377.0
33955,Drosophila_melanogaster,NP_651210.3,CG6000,Astyanax_mexicanus,XP_022534913.2,TSTD3,1.2500000000000001e-21,102.0,7.03e-22,102.0
33956,Drosophila_melanogaster,NP_651211.2,SMC1,Astyanax_mexicanus,XP_022522165.1,LOC107196953,1.41e-270,932.0,6.92e-271,932.0
33959,Drosophila_melanogaster,NP_651218.1,SEC10,Astyanax_mexicanus,XP_049319866.1,EXOC5,1.67e-149,529.0,8.2e-150,529.0
33963,Drosophila_melanogaster,NP_651224.1,CG5510,Astyanax_mexicanus,XP_007246509.2,LMAN2,4.37e-76,284.0,2.31e-76,284.0
33974,Drosophila_melanogaster,NP_651234.1,SPASE22-23,Astyanax_mexicanus,XP_022523423.1,SPCS3,3.59e-53,207.0,1.78e-53,207.0
33982,Drosophila_melanogaster,NP_651246.2,DIS3,Astyanax_mexicanus,XP_022530330.2,DIS3,0.0,1031.0,0.0,1031.0
33983,Drosophila_melanogaster,NP_651247.1,CG6432,Astyanax_mexicanus,XP_049329866.1,ACSS3,1.91e-184,645.0,9.770000000000001e-185,645.0
33986,Drosophila_melanogaster,NP_651274.1,ATL,Astyanax_mexicanus,XP_049327003.1,LOC103043737,4.2e-173,607.0,2.1900000000000002e-173,607.0
33991,Drosophila_melanogaster,NP_651278.2,PPOX,Astyanax_mexicanus,XP_049325053.1,PPOX,7.17e-89,327.0,3.56e-89,327.0
33998,Drosophila_melanogaster,NP_651288.1,POLYBROMO,Astyanax_mexicanus,XP_049327503.1,PBRM1,3.2e-232,805.0,1.56e-232,805.0
34014,Drosophila_melanogaster,NP_651296.1,CG7006,Astyanax_mexicanus,XP_007244097.3,NIP7,2e-69,261.0,9.900000000000001e-70,261.0
34023,Drosophila_melanogaster,NP_651314.1,CG11771,Astyanax_mexicanus,XP_007240266.3,THOP1,1.3200000000000001e-36,154.0,6.120000000000001e-37,154.0
34025,Drosophila_melanogaster,NP_651319.2,BETA4GALT7,Astyanax_mexicanus,XP_007246507.2,B4GALT7,7e-72,270.0,3.41e-72,270.0
34027,Drosophila_melanogaster,NP_651321.1,SMG6,Astyanax_mexicanus,XP_049325024.1,SMG6,7.43e-55,215.0,6.2499999999999995e-55,215.0
34033,Drosophila_melanogaster,NP_651323.3,BAI,Astyanax_mexicanus,XP_007259925.1,TMED10,2.5799999999999996e-54,211.0,1.2799999999999999e-54,211.0
34036,Drosophila_melanogaster,NP_651335.2,CG11920,Astyanax_mexicanus,XP_007242332.1,IMP4,5.9e-84,310.0,2.84e-84,310.0
34059,Drosophila_melanogaster,NP_651391.1,TOBI,Astyanax_mexicanus,XP_007244015.2,SI:CH211-117C19.1,3.52e-103,375.0,1.8300000000000002e-103,375.0
34065,Drosophila_melanogaster,NP_651408.1,SSADH,Astyanax_mexicanus,XP_022529862.1,ALDH5A1,5.01e-143,507.0,2.49e-143,507.0
34077,Drosophila_melanogaster,NP_651435.1,CG5886,Astyanax_mexicanus,XP_007240217.2,TXLNG,2.56e-25,116.0,1.12e-25,116.0
34083,Drosophila_melanogaster,NP_651439.2,CG5913,Astyanax_mexicanus,XP_007238797.3,FAM98A,6.56e-36,151.0,3.94e-36,151.0
34084,Drosophila_melanogaster,NP_651454.1,EXO84,Astyanax_mexicanus,XP_007230028.1,EXOC8,3.06e-65,249.0,1.54e-65,249.0
34086,Drosophila_melanogaster,NP_651455.1,VPS2,Astyanax_mexicanus,XP_007259175.1,CHMP2A,2.51e-56,218.0,1.0600000000000001e-56,218.0
34099,Drosophila_melanogaster,NP_651468.1,CG6073,Astyanax_mexicanus,XP_022517935.1,HGH1,1.68e-65,249.0,8.61e-66,249.0
34116,Drosophila_melanogaster,NP_651499.2,CG6420,Astyanax_mexicanus,XP_007258958.3,WDR20A,7.62e-105,381.0,2.54e-105,381.0
34120,Drosophila_melanogaster,NP_651515.1,CG6330,Astyanax_mexicanus,XP_022535859.2,UPP2,3.35e-87,321.0,1.49e-87,321.0
34140,Drosophila_melanogaster,NP_651556.2,BIGMAX,Astyanax_mexicanus,XP_007230011.1,MLX,1.43e-38,159.0,6.86e-39,159.0
34149,Drosophila_melanogaster,NP_651571.3,DSD,Astyanax_mexicanus,XP_022540655.2,ATRN,1.84e-215,749.0,9.44e-216,749.0
34164,Drosophila_melanogaster,NP_651582.1,ALIX,Astyanax_mexicanus,XP_007245726.2,LOC103031070,2.29e-159,562.0,1.17e-159,562.0
34170,Drosophila_melanogaster,NP_651600.1,MFRN,Astyanax_mexicanus,XP_007235288.2,SLC25A37,9.830000000000001e-79,293.0,4.33e-79,293.0
34172,Drosophila_melanogaster,NP_651601.1,GP93,Astyanax_mexicanus,XP_007252444.3,HSP90B1,3.22e-254,877.0,1.61e-254,877.0
34181,Drosophila_melanogaster,NP_651622.2,NOA36,Astyanax_mexicanus,XP_007253761.2,ZNF330,1.0599999999999999e-104,379.0,5.3e-105,379.0
34187,Drosophila_melanogaster,NP_651637.1,WASP,Astyanax_mexicanus,XP_007231962.3,WASB,7.1e-45,181.0,3.2199999999999996e-45,181.0
34193,Drosophila_melanogaster,NP_651658.1,CPSF100,Astyanax_mexicanus,XP_007255534.2,CPSF2,1.46e-232,805.0,7.519999999999999e-233,805.0
34195,Drosophila_melanogaster,NP_651660.1,CG11837,Astyanax_mexicanus,XP_007229165.1,DIMT1L,2.12e-129,461.0,1.05e-129,461.0
34208,Drosophila_melanogaster,NP_651672.1,VHA100-1,Astyanax_mexicanus,XP_007239826.2,ATP6V0A1B,2.26e-280,964.0,1.0999999999999999e-280,964.0
34222,Drosophila_melanogaster,NP_651689.1,CG31445,Astyanax_mexicanus,XP_007256298.3,ANPEPLB,6.490000000000001e-157,554.0,3.28e-157,554.0
34223,Drosophila_melanogaster,NP_651691.4,PTP99A,Astyanax_mexicanus,XP_022537698.1,LOC103034479,3.61e-137,489.0,1.93e-137,489.0
34242,Drosophila_melanogaster,NP_651701.1,ALPH,Astyanax_mexicanus,XP_007235711.2,PPM1BB,3.83e-109,394.0,1.93e-109,394.0
34262,Drosophila_melanogaster,NP_651722.1,YATA,Astyanax_mexicanus,XP_022539795.2,SCYL1,3.73e-161,568.0,1.8400000000000002e-161,568.0
34268,Drosophila_melanogaster,NP_651731.1,VPS16B,Astyanax_mexicanus,XP_007256681.2,VIPAS39,1.82e-21,103.0,9.67e-22,103.0
34271,Drosophila_melanogaster,NP_651740.1,RPS8,Astyanax_mexicanus,XP_007245170.1,RPS8A,4.42e-75,280.0,2.18e-75,280.0
34283,Drosophila_melanogaster,NP_651767.2,CG15528,Astyanax_mexicanus,XP_022541285.1,ZGC:153044,2.75e-29,128.0,1.0700000000000001e-29,128.0
34286,Drosophila_melanogaster,NP_651776.2,CG1983,Astyanax_mexicanus,XP_022533001.1,PLPBP,3.62e-67,254.0,1.99e-67,254.0
34288,Drosophila_melanogaster,NP_651782.1,RPS7,Astyanax_mexicanus,XP_022541692.1,RPS7,8.639999999999999e-69,259.0,4.27e-69,259.0
34289,Drosophila_melanogaster,NP_651790.1,CG2218,Astyanax_mexicanus,XP_007254133.3,UBOX5,7.729999999999999e-24,111.0,4.2999999999999996e-24,111.0
34298,Drosophila_melanogaster,NP_651796.1,CG2224,Astyanax_mexicanus,XP_007231552.3,STAMBPB,8.51e-81,300.0,4.33e-81,300.0
34299,Drosophila_melanogaster,NP_651797.1,CDASE,Astyanax_mexicanus,XP_049320915.1,LOC103023313,7.88e-156,550.0,4.08e-156,550.0
34309,Drosophila_melanogaster,NP_651850.1,CG1542,Astyanax_mexicanus,XP_007250704.3,EBNA1BP2,5.55e-37,154.0,2.7100000000000004e-37,154.0
34323,Drosophila_melanogaster,NP_651868.1,CG11334,Astyanax_mexicanus,XP_007229603.1,MRI1,1.56e-102,372.0,7.480000000000001e-103,372.0
34324,Drosophila_melanogaster,NP_651873.3,CG1635,Astyanax_mexicanus,XP_007249045.2,LOC103029600,3.12e-70,265.0,1.46e-70,265.0
34334,Drosophila_melanogaster,NP_651887.1,NERO,Astyanax_mexicanus,XP_007245840.3,DOHH,1.87e-85,315.0,9.53e-86,315.0
34352,Drosophila_melanogaster,NP_651908.1,CRK,Astyanax_mexicanus,XP_007245996.2,CRK,2.47e-65,248.0,1.61e-65,248.0
34378,Drosophila_melanogaster,NP_651960.2,TRIO,Astyanax_mexicanus,XP_022538954.2,TRIOA,0.0,1664.0,0.0,1664.0
34392,Drosophila_melanogaster,NP_651962.2,SPT6,Astyanax_mexicanus,XP_022531795.2,SUPT6H,0.0,1396.0,0.0,1396.0
34395,Drosophila_melanogaster,NP_651965.1,NHP2,Astyanax_mexicanus,XP_007254184.3,NHP2,9.94e-27,119.0,4.630000000000001e-27,119.0
34398,Drosophila_melanogaster,NP_651970.1,RS1,Astyanax_mexicanus,XP_022531339.2,DDX27,8.55e-159,560.0,4.2e-159,560.0
34399,Drosophila_melanogaster,NP_651971.2,MAB-21,Astyanax_mexicanus,XP_007258589.2,MAB21L1,6.54e-155,546.0,3.18e-155,546.0
34405,Drosophila_melanogaster,NP_651987.1,VHA36-1,Astyanax_mexicanus,XP_007255547.1,ATP6V1D,1.86e-89,328.0,9.24e-90,328.0
34411,Drosophila_melanogaster,NP_652003.2,TOM40,Astyanax_mexicanus,XP_007250896.3,TOMM40,8.51e-85,313.0,4.19e-85,313.0
34414,Drosophila_melanogaster,NP_652004.2,VHA68-2,Astyanax_mexicanus,XP_007249087.1,ATP6V1AB,0.0,1040.0,0.0,1040.0
34417,Drosophila_melanogaster,NP_652010.1,VHAPPA1-1,Astyanax_mexicanus,XP_007229360.1,ATP6V0B,6.49e-58,223.0,3.1100000000000002e-58,223.0
34429,Drosophila_melanogaster,NP_652016.1,PEX1,Astyanax_mexicanus,XP_007259851.3,PEX1,3.11e-85,316.0,1.92e-85,316.0
34444,Drosophila_melanogaster,NP_652032.1,SPLY,Astyanax_mexicanus,XP_007252303.3,SGPL1,2.98e-159,561.0,1.5399999999999998e-159,561.0
34451,Drosophila_melanogaster,NP_652037.1,SEC61BETA,Astyanax_mexicanus,XP_015460081.3,SEC61B,3.97e-25,113.0,1.9e-25,113.0
34452,Drosophila_melanogaster,NP_652040.2,L(3)07882,Astyanax_mexicanus,XP_022532058.2,NOP14,1.83e-102,373.0,9.12e-103,373.0
34459,Drosophila_melanogaster,NP_652046.1,CG11899,Astyanax_mexicanus,XP_022518365.1,PSAT1,1.6500000000000001e-124,445.0,8.39e-125,445.0
34460,Drosophila_melanogaster,NP_652053.1,VPS28,Astyanax_mexicanus,XP_007245809.1,VPS28,1.39e-76,285.0,7.31e-77,285.0
34470,Drosophila_melanogaster,NP_652070.1,CYP303A1,Astyanax_mexicanus,XP_015463914.2,LOC103041527,6.46e-51,201.0,3.09e-51,201.0
34472,Drosophila_melanogaster,NP_652072.1,INVADOLYSIN,Astyanax_mexicanus,XP_007260030.3,LMLN,2.9200000000000004e-161,568.0,1.4600000000000002e-161,568.0
34483,Drosophila_melanogaster,NP_652209.1,SQD,Astyanax_mexicanus,XP_007241118.2,HNRNPDL,2.17e-39,162.0,1.05e-39,162.0
34493,Drosophila_melanogaster,NP_652292.1,CG15456,Astyanax_mexicanus,XP_022520719.2,SELENOW2A,4.77e-13,72.8,2.35e-13,72.8
34495,Drosophila_melanogaster,NP_652337.2,CG42540,Astyanax_mexicanus,XP_007249031.3,ZGC:112408,5.13e-81,301.0,1.43e-81,301.0
34501,Drosophila_melanogaster,NP_652400.3,CG14767,Astyanax_mexicanus,XP_007253971.1,LAPTM4A,6.8e-24,111.0,1.88e-24,111.0
34509,Drosophila_melanogaster,NP_652526.1,SCHLANK,Astyanax_mexicanus,XP_022537901.1,CERS5,1.66e-77,289.0,7.87e-78,289.0
34520,Drosophila_melanogaster,NP_652600.1,ALK,Astyanax_mexicanus,XP_049319381.1,LTK,1.82e-161,570.0,8.13e-162,570.0
34521,Drosophila_melanogaster,NP_652603.1,BEST1,Astyanax_mexicanus,XP_022522723.1,LOC103032327,6.19e-102,371.0,2.24e-102,371.0
34524,Drosophila_melanogaster,NP_652605.1,C12.1,Astyanax_mexicanus,XP_007235896.3,CWC15,3.49e-45,181.0,1.59e-45,181.0
34526,Drosophila_melanogaster,NP_652606.1,C11.1,Astyanax_mexicanus,XP_022529278.2,MROH1,1.44e-135,484.0,6.7e-136,484.0
34533,Drosophila_melanogaster,NP_652611.1,SF2,Astyanax_mexicanus,XP_007248694.1,SRSF1A,5.679999999999999e-69,260.0,2.7699999999999997e-69,260.0
34536,Drosophila_melanogaster,NP_652612.1,SC35,Astyanax_mexicanus,XP_007241354.1,SRSF2A,1.76e-37,155.0,9.42e-38,155.0
34539,Drosophila_melanogaster,NP_652618.1,SP1029,Astyanax_mexicanus,XP_022525610.1,ANPEPA,2.67e-153,542.0,1.36e-153,542.0
34572,Drosophila_melanogaster,NP_652636.2,LECTIN-28C,Astyanax_mexicanus,XP_022519161.2,LOC111189784,2.44e-11,68.6,1.15e-11,68.6
34576,Drosophila_melanogaster,NP_652639.1,CG3021,Astyanax_mexicanus,XP_007235000.2,TRMU,2.24e-94,345.0,1.1699999999999999e-94,345.0
34584,Drosophila_melanogaster,NP_652700.1,CG18858,Astyanax_mexicanus,XP_022539593.1,PLA2G15,8.13e-87,320.0,3.94e-87,320.0
34587,Drosophila_melanogaster,NP_652729.2,HBS1,Astyanax_mexicanus,XP_007257903.4,HBS1L,8.530000000000001e-169,593.0,4.24e-169,593.0
34588,Drosophila_melanogaster,NP_652731.1,DESAT1,Astyanax_mexicanus,XP_007249562.2,SCDB,1.1e-94,346.0,4.7299999999999994e-95,346.0
34591,Drosophila_melanogaster,NP_659573.1,EIF6,Astyanax_mexicanus,XP_015458494.1,EIF6,8.21e-105,379.0,4.0600000000000004e-105,379.0
34595,Drosophila_melanogaster,NP_722456.1,MED8,Astyanax_mexicanus,XP_007244222.2,MED8,1.39e-41,169.0,7.33e-42,169.0
34642,Drosophila_melanogaster,NP_722657.1,DOCK,Astyanax_mexicanus,XP_022529105.1,NCK1B,2.07e-89,329.0,7.08e-90,329.0
34656,Drosophila_melanogaster,NP_722663.1,ARU,Astyanax_mexicanus,XP_049330172.1,EPS8A,2.02e-53,210.0,1.01e-53,210.0
34674,Drosophila_melanogaster,NP_722676.3,CG4629,Astyanax_mexicanus,XP_007240287.3,LOC103045418,6.66e-63,241.0,2.54e-63,241.0
34681,Drosophila_melanogaster,NP_722715.1,RFESP,Astyanax_mexicanus,XP_007232746.2,LOC103029512,6.11e-76,283.0,3.63e-76,283.0
34707,Drosophila_melanogaster,NP_722725.1,RRP40,Astyanax_mexicanus,XP_007232266.1,LOC103035868,1.49e-51,202.0,7.769999999999999e-52,202.0
34708,Drosophila_melanogaster,NP_722744.1,GOT2,Astyanax_mexicanus,XP_007256293.1,GOT2A,1.99e-149,528.0,9.93e-150,528.0
34718,Drosophila_melanogaster,NP_722762.1,GLYP,Astyanax_mexicanus,XP_049319448.1,PYGB,0.0,1289.0,0.0,1289.0
34722,Drosophila_melanogaster,NP_722763.1,THO2,Astyanax_mexicanus,XP_022539435.2,THOC2,0.0,1073.0,0.0,1073.0
34729,Drosophila_melanogaster,NP_722766.1,AOP,Astyanax_mexicanus,XP_007239065.2,ETV6,2.8400000000000003e-27,123.0,9.03e-28,123.0
34769,Drosophila_melanogaster,NP_722830.2,HRS,Astyanax_mexicanus,XP_049332038.1,HGS,8.150000000000001e-103,374.0,4.0000000000000003e-103,374.0
34776,Drosophila_melanogaster,NP_722838.1,SYT1,Astyanax_mexicanus,XP_007287856.3,SYT1A,4.39e-121,434.0,1.9200000000000001e-121,434.0
34848,Drosophila_melanogaster,NP_722974.1,L(2)K05819,Astyanax_mexicanus,XP_022526072.2,TMEM94,3.07e-133,476.0,1.42e-133,476.0
